id,country,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
1453792,Italy,2020-03-01,-19.0,-5.0,-30.0,-26.0,-5.0,4.0
1453793,Italy,2020-03-02,-13.0,-7.0,-26.0,-25.0,-9.0,5.0
1453794,Italy,2020-03-03,-7.0,-1.0,-9.0,-21.0,-8.0,4.0
1453795,Italy,2020-03-04,-7.0,1.0,8.0,-19.0,-8.0,4.0
1453796,Italy,2020-03-05,-12.0,0.0,-12.0,-28.0,-16.0,7.0
1453797,Italy,2020-03-06,-15.0,0.0,-8.0,-29.0,-17.0,8.0
1453798,Italy,2020-03-07,-19.0,1.0,2.0,-24.0,-15.0,6.0
1453799,Italy,2020-03-08,-32.0,3.0,1.0,-27.0,-10.0,6.0
1453800,Italy,2020-03-09,-30.0,-1.0,-24.0,-42.0,-24.0,11.0
1453801,Italy,2020-03-10,-43.0,-2.0,-32.0,-51.0,-31.0,16.0
1453802,Italy,2020-03-11,-52.0,-14.0,-32.0,-57.0,-37.0,19.0
1453803,Italy,2020-03-12,-70.0,-23.0,-61.0,-67.0,-47.0,24.0
1453804,Italy,2020-03-13,-75.0,-28.0,-64.0,-71.0,-53.0,28.0
1453805,Italy,2020-03-14,-83.0,-43.0,-78.0,-76.0,-58.0,25.0
1453806,Italy,2020-03-15,-90.0,-60.0,-81.0,-80.0,-55.0,22.0
1453807,Italy,2020-03-16,-75.0,-37.0,-67.0,-74.0,-58.0,27.0
1453808,Italy,2020-03-17,-77.0,-41.0,-68.0,-76.0,-61.0,29.0
1453809,Italy,2020-03-18,-79.0,-43.0,-71.0,-77.0,-61.0,30.0
1453810,Italy,2020-03-19,-79.0,-44.0,-74.0,-78.0,-63.0,31.0
1453811,Italy,2020-03-20,-80.0,-40.0,-77.0,-78.0,-63.0,32.0
1453812,Italy,2020-03-21,-86.0,-51.0,-85.0,-80.0,-63.0,26.0
1453813,Italy,2020-03-22,-95.0,-85.0,-91.0,-87.0,-63.0,24.0
1453814,Italy,2020-03-23,-80.0,-45.0,-81.0,-81.0,-68.0,32.0
1453815,Italy,2020-03-24,-81.0,-48.0,-80.0,-81.0,-69.0,32.0
1453816,Italy,2020-03-25,-83.0,-51.0,-82.0,-82.0,-70.0,34.0
1453817,Italy,2020-03-26,-84.0,-52.0,-84.0,-83.0,-72.0,35.0
1453818,Italy,2020-03-27,-83.0,-46.0,-82.0,-82.0,-71.0,36.0
1453819,Italy,2020-03-28,-87.0,-54.0,-86.0,-82.0,-65.0,27.0
1453820,Italy,2020-03-29,-94.0,-85.0,-90.0,-87.0,-63.0,24.0
1453821,Italy,2020-03-30,-81.0,-47.0,-79.0,-81.0,-69.0,32.0
1453822,Italy,2020-03-31,-90.0,-42.0,-78.0,-79.0,-70.0,33.0
1453823,Italy,2020-04-01,-90.0,-41.0,-77.0,-79.0,-70.0,33.0
1453824,Italy,2020-04-02,-90.0,-40.0,-77.0,-79.0,-70.0,34.0
1453825,Italy,2020-04-03,-85.0,-37.0,-78.0,-79.0,-69.0,35.0
1453826,Italy,2020-04-04,-89.0,-48.0,-84.0,-80.0,-63.0,27.0
1453827,Italy,2020-04-05,-95.0,-82.0,-90.0,-86.0,-62.0,24.0
1453828,Italy,2020-04-06,-83.0,-39.0,-76.0,-78.0,-66.0,31.0
1453829,Italy,2020-04-07,-81.0,-38.0,-75.0,-78.0,-67.0,31.0
1453830,Italy,2020-04-08,-82.0,-37.0,-76.0,-78.0,-67.0,31.0
1453831,Italy,2020-04-09,-81.0,-32.0,-76.0,-78.0,-67.0,32.0
1453832,Italy,2020-04-10,-81.0,-27.0,-76.0,-77.0,-68.0,33.0
1453833,Italy,2020-04-11,-86.0,-42.0,-83.0,-78.0,-62.0,26.0
1453834,Italy,2020-04-12,-96.0,-94.0,-91.0,-88.0,-66.0,25.0
